vb_vf_national_precinct_code,randomization_block,treatment
FL_FLAGLER_505,712,1
FL_MANATEE_325,320,0
FL_FLAGLER_512,2264,0
FL_HILLSBOROUGH_125,2231,0
FL_OSCEOLA_3006,2720,0
FL_MARION_1070,477,0
FL_SEMINOLE_004,1209,1
FL_BREVARD_425,2150,0
FL_SUMTER_104,112,0
FL_MIAMI-DADE_336,2696,0
FL_PASCO_005,1366,0
FL_OSCEOLA_4103,949,1
FL_PUTNAM_20,1234,1
FL_PALM BEACH_8611,2235,0
FL_MIAMI-DADE_447,529,0
FL_MIAMI-DADE_237,243,0
FL_DUVAL_00711,2398,0
FL_ST JOHNS_204,1771,1
FL_LAFAYETTE_05,1968,1
FL_BREVARD_411,1014,0
FL_POLK_523,857,1
FL_HILLSBOROUGH_218,1681,0
FL_POLK_209,1469,1
FL_MIAMI-DADE_566,2244,1
FL_INDIAN RIVER_0020,394,1
FL_PALM BEACH_8654,1694,1
FL_MARION_3270,1863,0
FL_MIAMI-DADE_507,458,1
FL_BROWARD_00C012,1817,0
FL_PALM BEACH_7645,1866,1
FL_HILLSBOROUGH_176,1744,1
FL_PALM BEACH_1702,462,0
FL_PALM BEACH_6526,1502,1
FL_ESCAMBIA_097,1354,1
FL_PALM BEACH_4503,1500,1
FL_MARION_0013,1497,1
FL_HILLSBOROUGH_515,2679,0
FL_LAKE_0130,1481,0
FL_LAKE_0560,1306,1
FL_VOLUSIA_621,2295,0
FL_MIAMI-DADE_211,1936,1
FL_SARASOTA_225,1081,0
FL_OKALOOSA_04,1398,0
FL_HILLSBOROUGH_869,747,0
FL_HILLSBOROUGH_952,423,1
FL_MIAMI-DADE_304,542,0
FL_PALM BEACH_8601,1770,1
FL_DUVAL_01105,1241,1
FL_POLK_238,1761,0
FL_PALM BEACH_3708,1014,1
FL_BROWARD_00T008,2220,0
FL_CHARLOTTE_49,1528,0
FL_LAKE_0220,1808,0
FL_PALM BEACH_8650,2076,1
FL_OSCEOLA_2003,2010,1
FL_DUVAL_01311,404,1
FL_MARION_4060,1144,0
FL_PALM BEACH_2506,1603,1
FL_PINELLAS_231,137,0
FL_PALM BEACH_8879,1294,0
FL_MIAMI-DADE_531,1897,0
FL_ORANGE_000902,2713,0
FL_LEON_3469,412,0
FL_MIAMI-DADE_911,561,0
FL_FLAGLER_511,204,0
FL_MIAMI-DADE_800,760,0
FL_MIAMI-DADE_412,1451,1
FL_PINELLAS_519,141,0
FL_PALM BEACH_8663,485,1
FL_BROWARD_00U007,2128,1
FL_PINELLAS_205,194,0
FL_PASCO_099,417,1
FL_ORANGE_000133,966,1
FL_PASCO_044,1669,1
FL_PALM BEACH_8861,1772,0
FL_ORANGE_000226,1532,0
FL_SARASOTA_129,2319,0
FL_HILLSBOROUGH_542,1824,1
FL_LAKE_0135,2194,0
FL_OSCEOLA_4700,2580,0
FL_ORANGE_000225,2376,1
FL_LEON_3513,1790,1
FL_SARASOTA_535,1537,0
FL_SEMINOLE_047,673,1
FL_PASCO_079,1765,0
FL_BROWARD_00V002,1096,0
FL_PINELLAS_341,1022,1
FL_HIGHLANDS_05,571,0
FL_PALM BEACH_3805,1852,1
FL_SUMTER_106,7,0
FL_HILLSBOROUGH_827,518,0
FL_MONROE_01,2040,1
FL_OSCEOLA_5001,2452,0
FL_SEMINOLE_061,517,0
FL_MIAMI-DADE_350,1620,1
FL_PINELLAS_140,1212,0
FL_MIAMI-DADE_172,2092,0
FL_CHARLOTTE_56,89,0
FL_BROWARD_00Q068,1843,0
FL_POLK_324,867,0
FL_PASCO_020,1017,0
FL_PINELLAS_312,257,1
FL_MIAMI-DADE_904,969,0
FL_ALACHUA_0031,2726,0
FL_SARASOTA_517,1519,0
FL_HILLSBOROUGH_990,2087,1
FL_BROWARD_00R007,2156,1
FL_MIAMI-DADE_267,1493,1
FL_PALM BEACH_6420,2434,0
FL_HILLSBOROUGH_651,2561,0
FL_HILLSBOROUGH_961,2459,0
FL_HILLSBOROUGH_661,1981,0
FL_MIAMI-DADE_787,1165,1
FL_LEON_1205,1446,1
FL_HILLSBOROUGH_520,1965,0
FL_PALM BEACH_7413,931,1
FL_PASCO_038,2039,0
FL_MIAMI-DADE_159,2145,0
FL_PINELLAS_606,705,1
FL_MONROE_31,1281,1
FL_ORANGE_000212,783,0
FL_MIAMI-DADE_555,2674,1
FL_MIAMI-DADE_110,1753,0
FL_BROWARD_00F009,196,1
FL_PALM BEACH_6427,603,0
FL_HILLSBOROUGH_207,2406,0
FL_BROWARD_00U001,313,1
FL_SANTA ROSA_01,1180,0
FL_SARASOTA_509,552,1
FL_VOLUSIA_209,663,0
FL_MONROE_09,444,0
FL_CLAY_708,167,0
FL_HILLSBOROUGH_923,2094,0
FL_SEMINOLE_001,1391,0
FL_BROWARD_00F002,181,0
FL_OSCEOLA_1103,2454,1
FL_PINELLAS_336,563,0
FL_COLLIER_222,1023,1
FL_MIAMI-DADE_808,728,0
FL_LIBERTY_03,808,1
FL_MIAMI-DADE_853,2132,0
FL_PALM BEACH_8880,890,0
FL_MIAMI-DADE_184,1912,1
FL_MARION_3180,823,1
FL_PINELLAS_112,154,0
FL_POLK_327,1588,0
FL_PASCO_057,2572,1
FL_GADSDEN_17,795,1
FL_BREVARD_111,201,0
FL_LEE_410,478,1
FL_MIAMI-DADE_632,133,0
FL_INDIAN RIVER_0029,2162,0
FL_POLK_304,1109,1
FL_MIAMI-DADE_443,2696,1
FL_BROWARD_00R020,1239,0
FL_LAKE_0435,2001,1
FL_LEON_2502,2136,1
FL_ORANGE_000501,2059,1
FL_PINELLAS_161,2233,0
FL_DUVAL_01112,2255,1
FL_POLK_514,240,1
FL_SARASOTA_231,1110,1
FL_PINELLAS_538,1508,1
FL_GILCHRIST_01A,1417,1
FL_POLK_403,2264,1
FL_OSCEOLA_3003,745,1
FL_HERNANDO_450,347,1
FL_ALACHUA_0036,1602,0
FL_OKALOOSA_30,2035,0
FL_DUVAL_00502,1894,0
FL_SEMINOLE_072,923,1
FL_GLADES_11,2678,0
FL_MANATEE_517,1675,0
FL_DIXIE_01,53,0
FL_COLLIER_322,1203,0
FL_BAY_16,617,0
FL_LEON_3411,2107,1
FL_VOLUSIA_305,1985,0
FL_VOLUSIA_804,1882,0
FL_MIAMI-DADE_240,1307,1
FL_PALM BEACH_6523,1937,1
FL_COLUMBIA_021,775,1
FL_PINELLAS_515,1812,0
FL_MARTIN_24,897,1
FL_ST LUCIE_67,120,0
FL_NASSAU_00022,1823,0
FL_HILLSBOROUGH_989,2087,0
FL_MIAMI-DADE_232,812,1
FL_BREVARD_502,872,0
FL_ORANGE_000237,2280,1
FL_PINELLAS_347,309,0
FL_OKALOOSA_34,1207,0
FL_LEON_2503,2304,0
FL_LEON_2513,1364,1
FL_BROWARD_00L001,223,0
FL_ST JOHNS_103,2512,0
FL_PINELLAS_339,341,0
FL_MARION_0005,2350,1
FL_BROWARD_00R044,352,1
FL_PALM BEACH_8918,1442,0
FL_CHARLOTTE_05,1287,1
FL_BROWARD_00X023,887,0
FL_OKALOOSA_39,875,1
FL_ESCAMBIA_014,2302,0
FL_DUVAL_00605,77,1
FL_PALM BEACH_1719,1112,0
FL_SUMTER_107,1,0
FL_CHARLOTTE_46,1703,0
FL_PINELLAS_232,1024,0
FL_BROWARD_00T005,2656,1
FL_HARDEE_08,2801,1
FL_HIGHLANDS_19,674,0
FL_HILLSBOROUGH_340,1447,1
FL_MARION_0040,227,1
FL_CHARLOTTE_25,1361,0
FL_SEMINOLE_033,54,0
FL_BREVARD_311,891,1
FL_OSCEOLA_2000,2272,0
FL_PINELLAS_145,2150,1
FL_MARION_1080,410,1
FL_MIAMI-DADE_328,9,0
FL_MIAMI-DADE_610,2554,0
FL_OSCEOLA_1512,2688,0
FL_HILLSBOROUGH_511,865,0
FL_HILLSBOROUGH_822,2453,0
FL_OKALOOSA_21,681,0
FL_PALM BEACH_8729,2537,0
FL_CHARLOTTE_69,310,0
FL_POLK_244,1046,0
FL_WALTON_410,2006,0
FL_DUVAL_01111,1360,1
FL_ALACHUA_0040,1876,0
FL_WALTON_540,2355,0
FL_BROWARD_00N006,948,1
FL_MARTIN_23,72,1
FL_PALM BEACH_8711,1631,0
FL_OSCEOLA_1004,1978,0
FL_BROWARD_00W019,1265,1
FL_PINELLAS_267,2175,1
FL_MIAMI-DADE_976,2218,0
FL_BROWARD_00W011,2421,1
FL_PALM BEACH_6509,317,0
FL_MANATEE_421,276,0
FL_CHARLOTTE_77,831,0
FL_ALACHUA_0061,1633,1
FL_ORANGE_000631,888,1
FL_MIAMI-DADE_780,1314,0
FL_PALM BEACH_8691,1422,0
FL_LEE_110,59,1
FL_PALM BEACH_4912,2307,0
FL_HILLSBOROUGH_412,1474,0
FL_SEMINOLE_071,496,1
FL_PINELLAS_636,896,0
FL_VOLUSIA_504,993,1
FL_MIAMI-DADE_104,2742,0
FL_FLAGLER_401,1524,1
FL_VOLUSIA_210,663,1
FL_HILLSBOROUGH_934,2189,1
FL_PALM BEACH_7412,2527,0
FL_PASCO_048,1391,1
FL_PINELLAS_631,1623,0
FL_POLK_206,2383,1
FL_PINELLAS_306,264,0
FL_CITRUS_406,862,0
FL_LEON_1309,2690,0
FL_DUVAL_01405,2121,0
FL_OKEECHOBEE_03,1768,1
FL_HILLSBOROUGH_721,653,1
FL_PASCO_100,1251,0
FL_HILLSBOROUGH_529,2078,0
FL_INDIAN RIVER_0034,623,1
FL_HILLSBOROUGH_319,2424,1
FL_BROWARD_00R005,339,1
FL_ORANGE_000119,2503,0
FL_POLK_216,1994,0
FL_LAKE_0310,135,1
FL_PINELLAS_233,1379,0
FL_ORANGE_000624,150,0
FL_SARASOTA_106,259,1
FL_PALM BEACH_3707,750,1
FL_COLLIER_317,526,0
FL_PINELLAS_237,1460,1
FL_VOLUSIA_517,1219,1
FL_LEVY_01,440,0
FL_PALM BEACH_1602,1587,1
FL_PASCO_092,276,1
FL_DUVAL_00211,870,1
FL_BROWARD_00W003,2085,0
FL_ORANGE_000236,1775,1
FL_PALM BEACH_1713,371,1
FL_MIAMI-DADE_797,453,1
FL_LEE_409,2117,1
FL_HERNANDO_530,516,1
FL_BROWARD_00C004,669,1
FL_MANATEE_315,128,0
FL_HILLSBOROUGH_567,2413,1
FL_PASCO_011,1176,1
FL_MIAMI-DADE_121,1822,0
FL_PALM BEACH_8839,1253,0
FL_HILLSBOROUGH_165,2639,1
FL_MIAMI-DADE_804,367,1
FL_CLAY_216,174,0
FL_VOLUSIA_720,1295,1
FL_MANATEE_217,746,0
FL_SARASOTA_325,2313,1
FL_POLK_528,2242,0
FL_BROWARD_00X013,1277,0
FL_MIAMI-DADE_212,1661,1
FL_HARDEE_05,1663,0
FL_CITRUS_205,97,1
FL_ORANGE_000438,1468,1
FL_BROWARD_00M009,1542,1
FL_LAKE_0490,2138,1
FL_HILLSBOROUGH_117,186,1
FL_PINELLAS_200,1639,0
FL_MIAMI-DADE_635,2587,1
FL_MIAMI-DADE_707,1955,0
FL_MIAMI-DADE_571,790,1
FL_HILLSBOROUGH_806,423,0
FL_PALM BEACH_1525,1500,0
FL_ORANGE_000220,918,0
FL_CLAY_206,880,0
FL_BROWARD_00S002,806,1
FL_MIAMI-DADE_798,322,1
FL_ALACHUA_0044,306,1
FL_BROWARD_00E010,537,1
FL_HILLSBOROUGH_111,1487,0
FL_HILLSBOROUGH_652,2484,0
FL_LEON_3473,2063,1
FL_MIAMI-DADE_348,2169,0
FL_MANATEE_401,156,1
FL_SARASOTA_119,1853,0
FL_LEON_4458,1516,0
FL_MARION_1020,1921,1
FL_ALACHUA_0039,1602,1
FL_COLLIER_477,187,0
FL_COLLIER_430,649,1
FL_PINELLAS_225,845,1
FL_MARION_4010,1172,1
FL_BROWARD_00J013,1762,1
FL_HERNANDO_340,1783,0
FL_MIAMI-DADE_801,41,0
FL_PALM BEACH_8457,2351,0
FL_PALM BEACH_9409,926,0
FL_VOLUSIA_620,2595,1
FL_ORANGE_000115,1717,0
FL_BROWARD_00D005,1648,0
FL_MIAMI-DADE_730,1720,0
FL_CLAY_408,1004,0
FL_PASCO_111,337,0
FL_GADSDEN_12,2402,0
FL_HILLSBOROUGH_550,2395,0
FL_COLLIER_205,1023,0
FL_POLK_235,113,1
FL_ST LUCIE_36,1290,0
FL_MIAMI-DADE_771,801,1
FL_JACKSON_03,2329,1
FL_DESOTO_16,1501,1
FL_HILLSBOROUGH_963,2779,1
FL_ALACHUA_0038,1313,1
FL_OSCEOLA_4102,1039,1
FL_VOLUSIA_615,2252,0
FL_ORANGE_000615,2140,1
FL_MIAMI-DADE_920,2308,1
FL_CLAY_308,614,0
FL_SEMINOLE_027,694,1
FL_ORANGE_000637,2658,1
FL_LEON_5260,2430,1
FL_POLK_518,378,1
FL_SARASOTA_309,211,1
FL_HERNANDO_420,1233,1
FL_PALM BEACH_8661,1568,0
FL_PALM BEACH_6403,2421,0
FL_PALM BEACH_8830,971,0
FL_HILLSBOROUGH_422,2309,0
FL_POLK_255,1809,0
FL_BROWARD_00W008,1319,0
FL_MIAMI-DADE_546,1567,1
FL_BROWARD_00E014,1914,1
FL_SEMINOLE_017,930,1
FL_OKEECHOBEE_10,916,0
FL_DUVAL_00703,1634,0
FL_PALM BEACH_7665,1801,1
FL_DUVAL_01307,1890,1
FL_HILLSBOROUGH_708,834,1
FL_PINELLAS_416,447,1
FL_GADSDEN_19,1819,0
FL_BROWARD_00R025,1851,0
FL_LEON_5201,821,0
FL_MIAMI-DADE_361,1321,0
FL_MIAMI-DADE_880,1437,0
FL_PALM BEACH_8718,2331,1
FL_POLK_537,275,1
FL_LEON_1319,1944,0
FL_BROWARD_00E006,988,0
FL_ST JOHNS_505,1591,0
FL_OKALOOSA_17,1207,1
FL_PALM BEACH_1722,171,0
FL_PINELLAS_240,237,0
FL_MIAMI-DADE_458,2491,0
FL_MONROE_05,2556,0
FL_LEE_505,2166,0
FL_VOLUSIA_207,675,1
FL_DUVAL_00608,1553,1
FL_HILLSBOROUGH_101,1075,1
FL_BROWARD_00R046,1372,0
FL_OSCEOLA_5503,2716,0
FL_BREVARD_500,1238,0
FL_MIAMI-DADE_520,990,0
FL_MIAMI-DADE_740,58,0
FL_MARTIN_03,2702,1
FL_PALM BEACH_3704,86,0
FL_DUVAL_00607,1553,0
FL_PALM BEACH_7634,1937,0
FL_OKEECHOBEE_09,868,0
FL_BROWARD_00Q030,1112,1
FL_DUVAL_00802,830,0
FL_VOLUSIA_710,524,1
FL_ALACHUA_0022,1633,0
FL_LEE_515,1247,1
FL_PUTNAM_08,1464,1
FL_ORANGE_000345,1468,0
FL_VOLUSIA_606,572,1
FL_SUMTER_127,1473,0
FL_PALM BEACH_8692,1133,0
FL_ORANGE_000304,2134,1
FL_MIAMI-DADE_448,529,1
FL_POLK_516,1845,1
FL_PINELLAS_539,46,1
FL_MIAMI-DADE_433,291,1
FL_POLK_545,2488,0
FL_ESCAMBIA_005,919,0
FL_VOLUSIA_518,1752,1
FL_PINELLAS_242,427,0
FL_BAY_12,1484,0
FL_BAY_19A,1359,0
FL_SUMTER_116,489,0
FL_PALM BEACH_2414,945,1
FL_PINELLAS_532,551,1
FL_HILLSBOROUGH_239,638,0
FL_VOLUSIA_803,1513,1
FL_SARASOTA_541,1537,1
FL_VOLUSIA_314,2392,0
FL_PUTNAM_11,1829,1
FL_MIAMI-DADE_744,220,1
FL_PASCO_060,2338,0
FL_MARION_4160,2290,0
FL_BRADFORD_06,2298,1
FL_POLK_215,732,0
FL_CLAY_414,690,0
FL_ORANGE_000502,1115,0
FL_POLK_217,2034,1
FL_MIAMI-DADE_214,51,0
FL_HERNANDO_220,486,1
FL_MIAMI-DADE_579,272,0
FL_ORANGE_000433,2713,1
FL_BROWARD_00T023,493,0
FL_PALM BEACH_8859,2186,0
FL_POLK_120,867,1
FL_LEVY_13,1266,0
FL_SEMINOLE_010,2033,1
FL_COLLIER_190,66,1
FL_MARION_0001,714,0
FL_SARASOTA_539,18,1
FL_PINELLAS_251,815,0
FL_VOLUSIA_711,418,0
FL_HILLSBOROUGH_530,2438,1
FL_SARASOTA_321,18,0
FL_PUTNAM_32,2387,0
FL_MIAMI-DADE_105,1397,1
FL_BROWARD_00T022,493,1
FL_PALM BEACH_8706,1545,0
FL_MIAMI-DADE_620,2525,1
FL_BREVARD_414,152,1
FL_PINELLAS_601,2108,1
FL_SUMTER_101,609,1
FL_OSCEOLA_1505,2600,1
FL_HILLSBOROUGH_654,1977,0
FL_MIAMI-DADE_390,1237,0
FL_MIAMI-DADE_724,2539,0
FL_MIAMI-DADE_661,2450,1
FL_BREVARD_131,312,1
FL_PUTNAM_09,2360,1
FL_BREVARD_327,1137,1
FL_BROWARD_00H006,2017,1
FL_BREVARD_504,2045,1
FL_ST JOHNS_201,1771,0
FL_CHARLOTTE_22,130,0
FL_PALM BEACH_8802,297,1
FL_POLK_201,1385,1
FL_VOLUSIA_203,1169,1
FL_PALM BEACH_1704,1579,1
FL_MIAMI-DADE_371,976,1
FL_SARASOTA_531,1455,0
FL_HILLSBOROUGH_225,2384,0
FL_MIAMI-DADE_239,1401,1
FL_PINELLAS_104,154,1
FL_POLK_103,2238,1
FL_DUVAL_01312,1683,0
FL_CITRUS_107,344,0
FL_BREVARD_203,499,0
FL_MIAMI-DADE_839,1993,0
FL_PINELLAS_340,237,1
FL_SARASOTA_127,305,0
FL_SUMTER_108,1,1
FL_MIAMI-DADE_568,1339,1
FL_CLAY_208,880,1
FL_BREVARD_114,738,0
FL_PALM BEACH_6507,1498,0
FL_HILLSBOROUGH_809,2012,1
FL_ORANGE_000628,1874,0
FL_PALM BEACH_2413,1422,1
FL_MIAMI-DADE_611,1689,0
FL_LEE_319,1074,0
FL_SUMTER_125,112,1
FL_HILLSBOROUGH_935,2288,1
FL_BROWARD_00R042,2261,1
FL_PALM BEACH_8893,1278,0
FL_MIAMI-DADE_812,715,1
FL_ALACHUA_0024,809,0
FL_MONROE_22,2062,1
FL_DESOTO_08,2064,0
FL_PALM BEACH_8836,165,1
FL_CHARLOTTE_39,50,1
FL_MIAMI-DADE_324,39,0
FL_PINELLAS_243,160,0
FL_PALM BEACH_1716,2491,1
FL_OKALOOSA_13,878,1
FL_SARASOTA_201,1800,0
FL_BROWARD_00P001,2661,0
FL_BROWARD_00B002,323,0
FL_DUVAL_00109,1480,1
FL_PINELLAS_213,1122,1
FL_ORANGE_000620,2603,0
FL_LEE_501,1334,0
FL_PALM BEACH_2415,2071,1
FL_ORANGE_000218,1526,1
FL_ST LUCIE_35,1931,0
FL_POLK_130,2257,1
FL_CLAY_113,2693,0
FL_ST LUCIE_83,586,0
FL_DUVAL_01309,2619,1
FL_HILLSBOROUGH_871,955,1
FL_MIAMI-DADE_540,285,0
FL_MANATEE_427,86,1
FL_HILLSBOROUGH_941,1880,1
FL_SEMINOLE_048,833,1
FL_CITRUS_104,164,1
FL_LAKE_0500,2322,0
FL_PALM BEACH_8619,1568,1
FL_COLLIER_472,2609,1
FL_LEON_4408,1975,1
FL_PINELLAS_418,447,0
FL_MIAMI-DADE_772,301,1
FL_MIAMI-DADE_134,719,1
FL_PALM BEACH_8831,1436,1
FL_VOLUSIA_624,1407,1
FL_LEON_4405,433,0
FL_PALM BEACH_1736,266,0
FL_MIAMI-DADE_722,2054,0
FL_MIAMI-DADE_909,1336,0
FL_PALM BEACH_5708,107,0
FL_BROWARD_00X010,268,0
FL_ST LUCIE_19,1521,0
FL_ORANGE_000122,439,1
FL_HILLSBOROUGH_856,158,0
FL_PASCO_093,1973,0
FL_PALM BEACH_2433,1772,1
FL_MIAMI-DADE_464,88,1
FL_PINELLAS_105,353,0
FL_PASCO_082,242,0
FL_ALACHUA_0015,1316,0
FL_BROWARD_00J004,620,1
FL_BROWARD_00U002,882,1
FL_PASCO_061,1732,0
FL_ORANGE_000305,1476,1
FL_POLK_409,512,1
FL_ALACHUA_0035,183,1
FL_PINELLAS_218,1065,0
FL_PALM BEACH_7635,1622,1
FL_BROWARD_00Q050,2706,0
FL_SUWANNEE_0009,1025,0
FL_BROWARD_00L002,1399,1
FL_LAKE_0180,2606,1
FL_PALM BEACH_1401,1450,1
FL_ST JOHNS_104,570,1
FL_ST JOHNS_501,1737,1
FL_HILLSBOROUGH_953,1723,1
FL_HILLSBOROUGH_203,1884,1
FL_BROWARD_00W012,1971,1
FL_MIAMI-DADE_988,2534,1
